Geographic Identifier,Percent Rich Houses
42003408001,0.352402746
42003408002,0.436130412
42003409000,0.596638655
42003410000,0.570071259
42003411000,0.560743427
42003412001,0.592771084
42003412002,0.608187135
42003413100,0.43655914
42003413201,0.343626807
42003413202,0.350993377
42003413300,0.29686576
42003413400,0.382545932
42003413500,0.230351171
42003414101,0.369738945
42003414102,0.323390895
42003414200,0.418740849
42003415001,0.253776435
42003415002,0.380846325
42003416000,0.093535076
42003417100,0.104231166
42003417200,0.045226131
42003418000,0.116136919
42003419000,0.180274331
42003420000,0.057971014
42003421100,0.416201117
42003421200,0.458075408
42003422000,0.747757256
42003423000,0.288324067
42003424000,0.022915341
42003425000,0.050505051
42003426300,0.223594549
42003426400,0.171961674
42003426700,0.101123596
42003426800,0.196901549
42003427000,0.032360743
42003427100,0.288192771
42003427200,0.107708014
42003428100,0.053435115
42003428200,0.159914712
42003429100,0.104519774
42003429201,0.344188658
42003429202,0.29703504
42003429300,0.193338749
42003429400,0.230088496
42003429500,0.176247031
42003429600,0.098773402
42003429700,0.133126935
42003430100,0.12458287
42003430200,0.187227866
42003431100,0.078795644
42003431400,0.09371293
42003431500,0.084322299
42003432300,0.090586146
42003432400,0.031507877
42003433000,0.487804878
42003434000,0.364973262
42003435000,0.083333333
42003436000,0.361774744
42003437000,0.426793558
42003438000,0.413793103
42003439000,0.394265233
42003440000,0.551724138
42003441000,0.33995585
42003442000,0.280487805
42003443000,0.054054054
42003444000,0.605882353
42003445500,0.258213256
42003446000,0.60591133
42003447000,0.290613718
42003448000,0.08952381
42003449000,0.14921875
42003450700,0.12112473
42003450800,0.037151703
42003451101,0.359574468
42003451102,0.195150115
42003451103,0.257586207
42003451300,0.407258065
42003452000,0.234337637
42003453001,0.271391076
42003453002,0.201877934
42003454000,0.101796407
42003455000,0.173285199
42003456001,0.28999212
42003456003,0.339112698
42003456004,0.245494398
42003457100,0.086551265
42003457200,0.128106019
42003458000,0.239845261
42003459101,0.207906296
42003459102,0.323896353
42003459201,0.247463768
42003459202,0.040733198
42003460001,0.207328386
42003460002,0.314977974
42003461000,0.059440559
42003462100,0.040880503
42003462600,0.093441672
42003463900,0.109285127
42003464300,0.107541899
42003464400,0.026315789
42003465600,0.123569794
42003465800,0.193135544
42003466000,0.554216867
42003467000,0.586387435
42003468700,0.183647799
42003468800,0.059101655
42003468900,0.121822034
42003469000,0.258573762
42003470300,0.158686731
42003470400,0.138702461
42003470500,0.209859637
42003470600,0.077377049
42003471000,0.088345865
42003472100,0.134663342
42003472200,0.124758221
42003472300,0.054669704
42003472400,0.135678392
42003473100,0.363267377
42003473200,0.205725699
42003473300,0.297785811
42003473401,0.306701031
42003473402,0.532176428
42003473500,0.533386328
42003473601,0.576776165
42003473602,0.329809725
42003474101,0.474457663
42003474102,0.588281869
42003474201,0.601873536
42003474202,0.501704545
42003474203,0.547169811
42003475101,0.148131057
42003475102,0.243941842
42003475200,0.276033058
42003475301,0.080587937
42003475303,0.349184783
42003475304,0.306692345
42003475401,0.2406639
42003475402,0.356687898
42003476100,0.10917226
42003476200,0.119596542
42003477100,0.248990579
42003477200,0.153148346
42003477300,0.195954488
42003478100,0.089376915
42003478200,0.117842324
42003479000,0.21299639
42003480101,0.070429829
42003480102,0.126391097
42003480200,0.15078125
42003480300,0.180105501
42003480400,0.170653174
42003481000,0.036599099
42003482500,0.113294798
42003483800,0.052668053
42003484300,0.067701863
42003484500,0.094767655
42003484600,0.103632479
42003485000,0.071678322
42003486700,0.005755396
42003486800,0.020811655
42003486900,0.025136612
42003487000,0.058411215
42003488100,0.088442211
42003488200,0.09762901
42003488300,0.125
42003488400,0.05517909
42003488500,0.145073701
42003488600,0.14057971
42003489001,0.260084926
42003489002,0.204066265
42003490002,0.11624947
42003490003,0.314179104
42003490004,0.355581128
42003491101,0.325195313
42003491102,0.228665208
42003491200,0.247981546
42003492700,0.044517725
42003492800,0.045189504
42003492900,0.074450085
42003493000,0.059090909
42003494000,0.053208138
42003495000,0.152841782
42003496101,0.172072072
42003496102,0.174972914
42003496200,0.10480167
42003497000,0.063205418
42003498000,0.095864662
42003499300,0.036982249
42003499400,0.007429421
42003500300,0.04843148
42003501000,0.045092838
42003502000,0.144
42003503001,0.160997732
42003503002,0.141240876
42003504100,0.058798466
42003504400,0.128794449
42003505000,#DIV/0!
42003506000,0.036900369
42003507000,0.035992218
42003508000,0.017905103
42003509400,0.062079873
42003510000,0.036900369
42003511000,0.095238095
42003512000,0.044128646
42003512800,0.062222222
42003512900,0.057971014
42003513800,0.072056239
42003514000,0.027292576
42003515100,0.043630017
42003515200,0.060396894
42003515300,0.049395161
42003515400,0.11183355
42003515500,0.278571429
42003516100,0.29245283
42003516200,0.226966292
42003517000,0.096807415
42003518001,0.25
42003518002,0.110294118
42003519000,0.315087719
42003520001,0.18250472
42003520002,0.109343936
